hour,cooling_kW
815,0.9434743879740539
816,0.5211956272723905
817,0.4259411538670597
818,0.3229062881991202
819,0.21124958712093989
820,0.0917352314248364
821,0.003118515074974676
822,0.2611775665205988
823,0.3723490999949569
824,0.6967522624082958
825,1.122524808501211
826,1.1929777734271754
827,1.2327937037299643
828,1.3515430674786924
829,1.4183403308942197
830,1.4122632587414865
831,1.3379758223426546
832,1.1947831702588507
833,1.0050850214932674
834,1.2106818387481317
835,1.272957300069849
836,1.3064073003504248
837,1.3200023580771998
838,1.3456294124019617
839,0.928006898023126
840,0.48421950204655073
841,0.3784166306279992
842,0.2586376824854366
843,0.1262115565935997
844,0.012830074996903895
845,0.0
846,0.1787262173936509
847,0.43860416200333135
848,1.0024091995464286
849,1.5552012440330858
850,1.643243984538576
851,1.6022948781986015
852,1.6722934427627067
853,1.715698990438467
854,1.6796480543589767
855,1.5766240590473937
856,1.3874806505689283
857,1.162019536744528
858,1.4083317032556326
859,1.490143852171205
860,1.534637521072055
861,1.5539154295927353
862,1.5792475995683615
863,1.1475363737874866
864,0.6505109672741028
865,0.5406152467322234
866,0.4485593158262203
867,0.350501019948737
868,0.2402750240897844
869,0.11771610407551034
870,0.42759881598409955
871,0.5128966712908732
872,1.0838662959012488
873,1.6068027903670397
874,1.6570421393904535
875,1.587495817191592
876,1.6297780595432103
877,1.663244688234202
878,1.6462702281554633
879,1.5688020934173585
880,1.3969323675726892
881,1.3908334767999448
882,1.6773531279232112
883,1.7988803005001273
884,1.879542150337183
885,1.9257361591500703
886,1.88178359545914
887,1.4384998768336352
888,0.9511436908657789
889,0.8234844584843232
890,0.7113438221439056
891,0.6102743843384318
892,0.5266356203856273
893,0.45778666991309963
894,0.7799419274882761
895,0.7556773391044077
896,1.182513085149669
897,1.74050794547066
898,1.8390653823246192
899,1.7793701219783054
900,1.8312519856617746
901,1.8854683841580053
902,1.8904529688651535
903,1.7916291759704865
904,1.6314911090060216
905,1.64999305127952
906,1.939464431221255
907,2.067411814138067
908,2.1532298696408527
909,2.2025498685518694
910,2.162682516732458
911,1.7166810592041328
912,1.2217179415975685
913,1.0873786639897207
914,0.9738080380163733
915,0.8712048305577479
916,0.7762971060857374
917,0.6888046243631867
918,0.9887355857904444
919,0.8240403031046399
920,0.8814803128571771
921,1.2044738115227815
922,1.4425162497580228
923,1.5424085961199792
924,1.5380251183585405
925,1.561185829189664
926,1.4502536355432991
927,1.204131972123264
928,1.0725429285350272
929,1.219558797911852
